iter	Passed	Remaining
0	58	58351
1	58	29279
2	58	19583
3	59	14745
4	59	11828
5	59	9896
6	60	8518
7	60	7477
8	60	6666
9	60	6018
10	61	5490
11	61	5046
12	61	4674
13	61	4353
14	62	4077
15	62	3832
16	62	3617
17	62	3425
18	63	3254
19	63	3099
20	63	2960
21	63	2838
22	64	2722
23	64	2616
24	64	2519
25	64	2430
26	65	2345
27	65	2267
28	65	2195
29	65	2128
30	66	2064
31	66	2006
32	66	1952
33	66	1900
34	67	1852
35	67	1806
36	67	1764
37	68	1722
38	68	1682
39	68	1646
40	68	1612
41	69	1578
42	69	1546
43	69	1514
44	69	1485
45	70	1456
46	70	1428
47	70	1402
48	70	1376
49	71	1352
50	71	1328
51	71	1305
52	71	1284
53	72	1263
54	72	1243
55	72	1224
56	72	1205
57	73	1187
58	73	1169
59	73	1152
60	73	1136
61	74	1120
62	74	1104
63	74	1090
64	74	1076
65	75	1062
66	75	1048
67	75	1035
68	75	1022
69	76	1009
70	76	997
71	76	986
72	76	974
73	76	963
74	77	952
75	77	941
76	77	931
77	77	921
78	78	911
79	78	902
80	78	892
81	78	883
82	79	872
83	79	864
84	79	856
85	79	848
86	80	840
87	80	832
88	80	824
89	80	817
90	81	809
91	81	802
92	81	795
93	81	788
94	82	782
95	82	775
96	82	768
97	82	762
98	83	755
99	83	749
100	83	743
101	83	737
102	84	731
103	84	726
104	84	721
105	84	715
106	85	710
107	85	705
108	85	700
109	85	694
110	86	689
111	86	684
112	86	679
113	86	675
114	87	670
115	87	665
116	87	660
117	87	656
118	88	652
119	88	648
120	88	644
121	88	639
122	89	635
123	89	631
124	89	628
125	90	624
126	90	620
127	90	616
128	90	613
129	91	609
130	91	605
131	91	601
132	91	598
133	92	594
134	92	591
135	92	587
136	92	584
137	93	581
138	93	578
139	93	574
140	93	571
141	93	567
142	94	564
143	94	562
144	94	560
145	95	557
146	95	555
147	95	552
148	96	549
149	96	547
150	96	544
151	97	542
152	97	540
153	97	538
154	98	535
155	98	533
156	98	531
157	99	528
158	99	526
159	99	523
160	99	520
161	100	518
162	100	516
163	100	514
164	101	512
165	101	509
166	101	507
167	102	508
168	103	506
169	103	504
170	103	502
171	103	500
172	104	498
173	104	496
174	104	494
175	105	492
176	105	490
177	105	488
178	106	486
179	106	484
180	106	482
181	106	480
182	107	478
183	107	476
184	107	475
185	108	473
